frame,count,count_total,ratio
1108,66,147,0.4489795918367347
1101,66,147,0.4489795918367347
1477,53,118,0.4491525423728814
1232,62,138,0.4492753623188406
1017,67,149,0.44966442953020136
873,76,169,0.44970414201183434
889,76,169,0.44970414201183434
513,90,200,0.45
957,72,160,0.45
1756,50,111,0.45045045045045046
1750,50,111,0.45045045045045046
1391,55,122,0.45081967213114754
776,78,173,0.4508670520231214
662,83,184,0.45108695652173914
658,83,184,0.45108695652173914
279,116,257,0.45136186770428016
1226,61,135,0.45185185185185184
233,123,272,0.4522058823529412
702,82,181,0.4530386740331492
851,78,172,0.45348837209302323
518,91,200,0.455
1106,67,147,0.4557823129251701
595,88,193,0.45595854922279794
694,83,182,0.45604395604395603
1026,68,149,0.4563758389261745
1021,68,149,0.4563758389261745
953,74,162,0.4567901234567901
238,122,267,0.45692883895131087
1423,56,122,0.45901639344262296
1402,56,122,0.45901639344262296
1393,56,122,0.45901639344262296
1228,62,135,0.45925925925925926
508,93,202,0.4603960396039604
338,111,241,0.4605809128630705
1507,53,115,0.4608695652173913
600,89,193,0.46113989637305697
488,95,206,0.46116504854368934
1493,54,117,0.46153846153846156
573,90,195,0.46153846153846156
896,78,169,0.46153846153846156
791,79,171,0.4619883040935672
540,92,199,0.4623115577889447
635,87,188,0.4627659574468085
1453,56,121,0.4628099173553719
751,82,177,0.4632768361581921
1761,51,110,0.4636363636363636
697,84,181,0.46408839779005523
884,78,168,0.4642857142857143
240,124,267,0.46441947565543074
655,86,185,0.4648648648648649
1030,70,150,0.4666666666666667
193,135,289,0.4671280276816609
1433,57,122,0.4672131147540984
520,93,199,0.46733668341708545
1350,59,126,0.46825396825396826
274,121,258,0.4689922480620155
393,106,226,0.4690265486725664
1701,53,113,0.4690265486725664
1966,46,98,0.46938775510204084
1540,54,115,0.46956521739130436
590,91,193,0.47150259067357514
123,151,320,0.471875
1810,51,108,0.4722222222222222
718,85,180,0.4722222222222222
221,130,275,0.4727272727272727
1803,52,110,0.4727272727272727
675,87,184,0.47282608695652173
499,96,203,0.4729064039408867
318,116,245,0.47346938775510206
981,75,158,0.47468354430379744
725,85,179,0.4748603351955307
1456,57,120,0.475
1156,68,143,0.4755244755244755
132,148,311,0.4758842443729904
1109,70,147,0.47619047619047616
1103,70,147,0.47619047619047616
862,81,170,0.4764705882352941
1313,61,128,0.4765625
1768,52,109,0.47706422018348627
1655,54,113,0.4778761061946903
1652,54,113,0.4778761061946903
161,141,295,0.47796610169491527
390,109,228,0.4780701754385965
301,120,251,0.47808764940239046
1505,55,115,0.4782608695652174
1552,55,115,0.4782608695652174
891,81,169,0.47928994082840237
549,95,198,0.4797979797979798
757,85,177,0.480225988700565
986,74,154,0.4805194805194805
1859,50,104,0.4807692307692308
1283,63,131,0.48091603053435117
321,117,243,0.48148148148148145
617,91,189,0.48148148148148145
312,119,247,0.4817813765182186
1730,54,112,0.48214285714285715
913,81,168,0.48214285714285715
496,98,203,0.4827586206896552
1039,72,149,0.48322147651006714
1020,72,149,0.48322147651006714
235,130,269,0.483271375464684
1463,58,120,0.48333333333333334
1458,58,120,0.48333333333333334
1421,59,122,0.48360655737704916
628,92,190,0.4842105263157895
788,83,171,0.4853801169590643
82,167,344,0.48546511627906974
129,153,315,0.4857142857142857
1035,73,150,0.4866666666666667
1591,55,113,0.48672566371681414
622,92,189,0.48677248677248675
1566,56,115,0.48695652173913045
1547,56,115,0.48695652173913045
1542,56,115,0.48695652173913045
593,94,193,0.48704663212435234
510,98,201,0.48756218905472637
1317,62,127,0.4881889763779528
837,83,170,0.48823529411764705
835,83,170,0.48823529411764705
85,168,344,0.4883720930232558
1898,47,96,0.4895833333333333
432,107,218,0.4908256880733945
1800,54,110,0.4909090909090909
827,84,171,0.49122807017543857
857,84,171,0.49122807017543857
859,84,171,0.49122807017543857
1657,57,116,0.49137931034482757
1473,58,118,0.4915254237288136
739,87,177,0.4915254237288136
754,87,177,0.4915254237288136
1460,59,120,0.49166666666666664
1327,62,126,0.49206349206349204
1325,62,126,0.49206349206349204
1348,62,126,0.49206349206349204
1355,62,126,0.49206349206349204
626,94,191,0.49214659685863876
115,158,321,0.49221183800623053
571,96,195,0.49230769230769234
551,98,199,0.49246231155778897
482,103,209,0.49282296650717705
169,146,296,0.49324324324324326
290,125,253,0.49407114624505927
231,134,271,0.4944649446494465
109,162,327,0.4954128440366973
1784,54,109,0.4954128440366973
1798,55,111,0.4954954954954955
94,166,335,0.4955223880597015
1662,57,115,0.4956521739130435
1448,60,121,0.49586776859504134
1381,62,125,0.496
1383,62,125,0.496
228,135,272,0.4963235294117647
200,143,288,0.4965277777777778
172,147,296,0.4966216216216216
1023,74,149,0.4966442953020134
120,159,320,0.496875
972,80,161,0.4968944099378882
